modifier,meaning,values
src,Explicit source,"entity, URI"
dst,Explicit destination,"entity, URI"
path,Path within entity,string
fmt,Output format,"text, json, md, csv, xml, html, email"
lng,Language,ISO 639-1 (en, zh, ja)
sty,Style,"pro, casual, code, bullets"
ton,Tone,"urgent, neutral, formal"
len,Length target,"short, med, long, number"
lim,Limit,integer
off,Offset,integer
top,Top N,integer
bot,Bottom N,integer
srt,Sort by,field name
grp,Group by,field name
whr,Filter condition,condition string
mch,Match pattern,glob (default) or regex with typ=regex
exc,Exclude pattern,glob or regex
dep,Depth,integer
rng,Range,start:end
typ,Type expectation,"str, int, bool, regex"
enc,Encoding,"utf8, base64, hex"
cap,Capacity,"bytes, tokens"
pri,Priority,"p0, p1, p2"
col,Columns,comma separated
row,Rows,index array
frm,From (time),timestamp
to,To (time),timestamp
scp,Scope,"global, local, strict"
op,Operation ref,verb name (for BATC)
